,,,,Run,,,,,,,Cooldown,,,,,,,TOTAL,,,,Notes
Location,Day,Month,Day,Run Calories,Run Distance,Average Pace,Average Pace Kevin,MPH Kevin,Run Minutes,Run Seconds,Walk Calories,Walk Distance,Average Pace,Average Pace Kevin,MPH Kevin,Walk Minutes,Walk Seconds,Calories,Distance,Minutes,Seconds,
,Tuesday,9,11,,,,,,,,,,,,,,,,,,,
,Wednesday,9,12,,,,,,,,,,,,,,,,,,,
,Thursday,9,13,,,,,,,,,,,,,,,,,,,
,Friday,9,14,,,,,,,,,,,,,,,,,,,
,Saturday,9,15,,,,,,,,,,,,,,,,,,,
,Sunday,9,16,,,,,,,,,,,,,,,,,,,
,Monday,9,17,,,,,,,,,,,,,,,,,,,
,Tuesday,9,18,,,,,,,,,,,,,,,,,,,
,Wednesday,9,19,,,,,,,,,,,,,,,,,,,
,Thursday,9,20,,,,,,,,,,,,,,,,,,,
,Friday,9,21,,,,,,,,,,,,,,,,,,,
,Saturday,9,22,,,,,,,,,,,,,,,,,,,
,Sunday,9,23,,,,,,,,,,,,,,,,,,,
,Monday,9,24,,,,,,,,,,,,,,,,,,,
,Tuesday,9,25,,,,,,,,,,,,,,,,,,,
,Wednesday,9,26,,,,,,,,,,,,,,,,,,,
,Thursday,9,27,,,,,,,,,,,,,,,,,,,
,Friday,9,28,,,,,,,,,,,,,,,,,,,
,Saturday,9,29,,,,,,,,,,,,,,,,,,,
,Sunday,9,30,,,,,,,,,,,,,,,,,,,
,Monday,10,1,,,,,,,,,,,,,,,,,,,
,Tuesday,10,2,,,,,,,,,,,,,,,,,,,
,Wednesday,10,3,,,,,,,,,,,,,,,,,,,
,Thursday,10,4,,,,,,,,,,,,,,,,,,,
,Friday,10,5,,,,,,,,,,,,,,,,,,,
,Saturday,10,6,,,,,,,,,,,,,,,,,,,
,Sunday,10,7,,,,,,,,,,,,,,,,,,,
,Monday,10,8,,,,,,,,,,,,,,,,,,,
,Tuesday,10,9,,,,,,,,,,,,,,,,,,,
,Wednesday,10,10,,,,,,,,,,,,,,,,,,,
,Thursday,10,11,,,,,,,,,,,,,,,,,,,
,Friday,10,12,,,,,,,,,,,,,,,,,,,
,Saturday,10,13,,,,,,,,,,,,,,,,,,,
,Sunday,10,14,,,,,,,,,,,,,,,,,,,
,Monday,10,15,,,,,,,,,,,,,,,,,,,
,Tuesday,10,16,,,,,,,,,,,,,,,,,,,
,Wednesday,10,17,,,,,,,,,,,,,,,,,,,
,Thursday,10,18,,,,,,,,,,,,,,,,,,,
,Friday,10,19,,,,,,,,,,,,,,,,,,,
,Saturday,10,20,,,,,,,,,,,,,,,,,,,
,Sunday,10,21,,,,,,,,,,,,,,,,,,,
,Monday,10,22,,,,,,,,,,,,,,,,,,,
,Tuesday,10,23,,,,,,,,,,,,,,,,,,,
,Wednesday,10,24,,,,,,,,,,,,,,,,,,,
,Thursday,10,25,,,,,,,,,,,,,,,,,,,
,Friday,10,26,,,,,,,,,,,,,,,,,,,
,Saturday,10,27,,,,,,,,,,,,,,,,,,,
,Sunday,10,28,,,,,,,,,,,,,,,,,,,
,Monday,10,29,,,,,,,,,,,,,,,,,,,
,Tuesday,10,30,,,,,,,,,,,,,,,,,,,
,Wednesday,10,31,,,,,,,,,,,,,,,,,,,
,Thursday,11,1,,,,,,,,,,,,,,,,,,,
,Friday,11,2,,,,,,,,,,,,,,,,,,,
,Saturday,11,3,,,,,,,,,,,,,,,,,,,
,Sunday,11,4,,,,,,,,,,,,,,,,,,,
,Monday,11,5,,,,,,,,,,,,,,,,,,,
,Tuesday,11,6,,,,,,,,,,,,,,,,,,,
,Wednesday,11,7,,,,,,,,,,,,,,,,,,,
,Thursday,11,8,,,,,,,,,,,,,,,,,,,
,Friday,11,9,,,,,,,,,,,,,,,,,,,
,Saturday,11,10,,,,,,,,,,,,,,,,,,,
,Sunday,11,11,,,,,,,,,,,,,,,,,,,
,Monday,11,12,,,,,,,,,,,,,,,,,,,
,Tuesday,11,13,,,,,,,,,,,,,,,,,,,
,Wednesday,11,14,,,,,,,,,,,,,,,,,,,
,Thursday,11,15,,,,,,,,,,,,,,,,,,,
,Friday,11,16,,,,,,,,,,,,,,,,,,,
,Saturday,11,17,,,,,,,,,,,,,,,,,,,
,Sunday,11,18,,,,,,,,,,,,,,,,,,,
,Monday,11,19,,,,,,,,,,,,,,,,,,,
,Tuesday,11,20,,,,,,,,,,,,,,,,,,,
,Wednesday,11,21,,,,,,,,,,,,,,,,,,,
,Thursday,11,22,,,,,,,,,,,,,,,,,,,
,Friday,11,23,,,,,,,,,,,,,,,,,,,
,Saturday,11,24,,,,,,,,,,,,,,,,,,,
,Sunday,11,25,,,,,,,,,,,,,,,,,,,
,Monday,11,26,,,,,,,,,,,,,,,,,,,
,Tuesday,11,27,,,,,,,,,,,,,,,,,,,
,Wednesday,11,28,,,,,,,,,,,,,,,,,,,
,Thursday,11,29,,,,,,,,,,,,,,,,,,,
,Friday,11,30,,,,,,,,,,,,,,,,,,,
,Saturday,12,1,,,,,,,,,,,,,,,,,,,
,Sunday,12,2,,,,,,,,,,,,,,,,,,,
,Monday,12,3,,,,,,,,,,,,,,,,,,,
,Tuesday,12,4,,,,,,,,,,,,,,,,,,,
,Wednesday,12,5,,,,,,,,,,,,,,,,,,,
,Thursday,12,6,,,,,,,,,,,,,,,,,,,
,Friday,12,7,,,,,,,,,,,,,,,,,,,
,Saturday,12,8,,,,,,,,,,,,,,,,,,,
,Sunday,12,9,,,,,,,,,,,,,,,,,,,
,Monday,12,10,,,,,,,,,,,,,,,,,,,
,Tuesday,12,11,,,,,,,,,,,,,,,,,,,
,Wednesday,12,12,,,,,,,,,,,,,,,,,,,
,Thursday,12,13,,,,,,,,,,,,,,,,,,,
,Friday,12,14,,,,,,,,,,,,,,,,,,,
,Saturday,12,15,,,,,,,,,,,,,,,,,,,
,Sunday,12,16,,,,,,,,,,,,,,,,,,,
,Monday,12,17,,,,,,,,,,,,,,,,,,,
,Tuesday,12,18,,,,,,,,,,,,,,,,,,,
,Wednesday,12,19,,,,,,,,,,,,,,,,,,,
,Thursday,12,20,,,,,,,,,,,,,,,,,,,
,Friday,12,21,,,,,,,,,,,,,,,,,,,
,Saturday,12,22,,,,,,,,,,,,,,,,,,,
,Sunday,12,23,,,,,,,,,,,,,,,,,,,
,Monday,12,24,,,,,,,,,,,,,,,,,,,
,Tuesday,12,25,,,,,,,,,,,,,,,,,,,
,Wednesday,12,26,,,,,,,,,,,,,,,,,,,
,Thursday,12,27,,,,,,,,,,,,,,,,,,,
,Friday,12,28,,,,,,,,,,,,,,,,,,,
,Saturday,12,29,,,,,,,,,,,,,,,,,,,
,Sunday,12,30,,,,,,,,,,,,,,,,,,,
,Monday,12,31,,,,,,,,,,,,,,,,,,,
